Postal Code,Name,Poverty Estimate,Poverty Percent
GA,Douglas County,"16,770",11.5
GA,Early County,"2,371",24.0
GA,Echols County,821,20.6
GA,Effingham County,"5,293",8.1
GA,Elbert County,"4,528",23.8
GA,Emanuel County,"5,584",26.4
GA,Evans County,"2,002",19.6
GA,Fannin County,"4,111",15.6
GA,Fayette County,"6,079",5.3
GA,Floyd County,"17,472",18.4
GA,Forsyth County,"12,669",5.1
GA,Franklin County,"3,708",16.3
GA,Fulton County,"136,220",13.0
GA,Gilmer County,"4,437",14.0
GA,Glascock County,447,15.5
GA,Glynn County,"13,107",15.5
GA,Gordon County,"6,829",11.8
GA,Grady County,"4,527",18.7
GA,Greene County,"2,849",15.3
GA,Gwinnett County,"97,747",10.4
GA,Habersham County,"5,963",13.7
GA,Hall County,"25,886",12.7
GA,Hancock County,"2,202",30.7
GA,Haralson County,"4,633",15.5
GA,Harris County,"3,195",9.0
GA,Hart County,"3,711",14.4
GA,Heard County,"1,938",16.4
GA,Henry County,"20,755",8.7
GA,Houston County,"17,041",10.8
GA,Irwin County,"1,720",20.9
GA,Jackson County,"6,883",9.1
GA,Jasper County,"2,015",14.0
GA,Jeff Davis County,"3,003",20.0
GA,Jefferson County,"3,101",21.1
GA,Jenkins County,"2,111",28.0
GA,Johnson County,"2,059",25.9
GA,Jones County,"3,285",11.6
GA,Lamar County,"2,504",13.8
GA,Lanier County,"2,046",19.6
GA,Laurens County,"9,611",20.7
GA,Lee County,"2,947",10.1
GA,Liberty County,"8,886",14.7
GA,Lincoln County,"1,310",16.5
GA,Long County,"3,303",16.7
GA,Lowndes County,"22,695",20.3
GA,Lumpkin County,"3,896",12.5
GA,McDuffie County,"3,490",16.7
GA,McIntosh County,"2,847",19.9
GA,Macon County,"3,362",31.1
GA,Madison County,"4,366",14.5
GA,Marion County,"1,736",20.6
GA,Meriwether County,"4,617",22.1
GA,Miller County,"1,091",19.8
GA,Mitchell County,"7,426",38.2
GA,Monroe County,"3,447",12.8
GA,Montgomery County,"1,577",19.3
GA,Morgan County,"2,251",11.6
GA,Murray County,"6,319",15.9
GA,Muscogee County,"40,029",21.1
GA,Newton County,"15,997",14.4
GA,Oconee County,"2,468",6.0
GA,Oglethorpe County,"2,022",13.4
GA,Paulding County,"12,612",7.3
GA,Peach County,"5,114",19.2
GA,Pickens County,"3,423",10.5
GA,Pierce County,"3,196",16.5
GA,Pike County,"1,902",10.1
GA,Polk County,"6,912",16.3
GA,Pulaski County,"2,027",20.4
GA,Putnam County,"3,648",16.3
GA,Quitman County,523,23.1
GA,Rabun County,"2,341",13.8
GA,Randolph County,"1,749",27.4
GA,Richmond County,"48,382",25.5
GA,Rockdale County,"11,464",12.7
GA,Schley County,779,15.0
GA,Screven County,"2,793",20.7
GA,Seminole County,"1,832",22.9
GA,Spalding County,"11,835",17.9
GA,Stephens County,"4,297",16.9
GA,Stewart County,"1,561",31.3
GA,Sumter County,"6,726",24.3
GA,Talbot County,"1,274",20.8
GA,Taliaferro County,362,23.2
GA,Tattnall County,"4,330",20.7
GA,Taylor County,"1,831",23.2
GA,Telfair County,"3,774",29.9
GA,Terrell County,"2,287",27.8
GA,Thomas County,"7,072",16.2
GA,Tift County,"7,999",20.5
GA,Toombs County,"5,919",22.2
GA,Towns County,"1,455",13.2
GA,Treutlen County,"1,501",23.4
GA,Troup County,"11,136",16.4
GA,Turner County,"1,667",22.2
GA,Twiggs County,"1,593",20.0
GA,Union County,"3,219",12.9
GA,Upson County,"3,969",15.2
GA,Walker County,"9,650",14.1
GA,Walton County,"10,898",11.4
GA,Ware County,"8,660",26.0
GA,Warren County,"1,204",23.4
GA,Washington County,"3,887",21.3
GA,Wayne County,"5,497",19.7
GA,Webster County,482,18.6
GA,Wheeler County,"1,864",35.6
GA,White County,"3,778",12.5
GA,Whitfield County,"13,347",13.0
GA,Wilcox County,"1,851",27.9
GA,Wilkes County,"1,919",20.2
GA,Wilkinson County,"1,732",20.1
